event_id,vix_start,vix_end,vix_pct_change,avg_vix_volatility,pre_days_count,pre_event_return,pre_days_count_right
DNA_20000602,,25.73,,2.7242680453981096,21,-0.13844453217355124,21
GBT_20191125,,,,2.2147638654890622,20,0.12235123767566525,20
WYE_20070522,,,,4.179932111765766,21,0.05100086600445519,21
HSP_20110804,,19.82,,3.29160884569529,22,-0.12538356208693302,22
BAX_20171221,,,,1.8413907409858337,21,0.024566696010013045,21
TNXP_20190125,,,,2.6580510461265483,20,0.03825157164554849,20
JAZZ_20160330,,,,4.04205079719215,21,-0.03240160148964322,21
SLXP_20040615,,,,1.1884877522386685,18,-0.15523763567601756,18
SMMT_20240419,,,,2.8653307865752145,21,-0.03305811258065894,21
SNY_20081218,,,,9.272782679630284,21,0.12247923575154873,21
SGP_20030729,,,,4.294688034330267,20,-0.09114905209590529,20
EBS_20080123,,,,4.747578153188704,19,0.40824697474830285,19
TEVA_20200821,,,,6.012740770636562,22,-0.18919027540028177,22
DAWN_20240423,,,,2.8653307865752145,20,-0.010934548689267687,20
NVS_20190326,,,,4.830355378358123,21,0.06050483169143073,21
APLS_20210514,,,,3.312318335342067,22,0.08049381519378862,22
NVS_20170428,,,,1.105820470446712,21,0.02980264667233601,21
SNY_20090701,38.56,,,4.832794839647185,22,-0.06942329028642225,22
AZN_20050331,14.08,,,0.8053954819241457,21,-0.009310326552941506,21
TEVA_20060217,,,,1.1163441153193583,22,-0.03320823546919638,22
NVS_20211222,,,,2.432528951600076,21,0.05302544226566264,21
APG_20210325,,,,5.327466650183773,22,-0.01970946888623515,22
RIGL_20180417,,,,3.4026305389420854,20,-0.08801911400145868,20
TEVA_20170403,,,,0.7273049820130089,20,-0.0752127074144503,20
MYOV_20210526,,,,3.322977929783966,22,0.14293101320899626,22
AMGN_20240528,,,,7.070429063753846,20,0.14092529268224419,20
LLY_20200528,,,,4.588543277820292,21,-0.09243868714339831,21
ARRY_20180627,,,,4.6129180139208,21,0.16425273114076622,21
SPIL_20180126,,,,4.598792636114841,20,0.04000155447158149,20
XERS_20190910,,15.27,,2.706813924498604,20,0.017673651576993077,20
FRX_20020829,,,,4.209971170157806,22,-0.030158997915138874,22
RARE_20200630,13.85,,,8.716678629310023,21,0.07595710526976451,21
ARQT_20231215,,,,1.5446919468455933,21,0.1651364280424359,21
JNJ_20240315,,,,1.20597410122523,21,0.02524658190384854,21
PSO_20110608,,16.34,,6.142408137915512,21,0.010232557461725689,21
AAPL_20101021,,,,3.000558532268498,22,0.09638823323794399,22
JNJ_20020822,,,,4.209971170157806,22,0.29540097351598726,22
CEPH_20080320,,,,8.341376369831298,22,0.03317002554097881,22
RDY_20210614,,,,2.760338401926892,19,0.02860927455385598,19
TEVA_20160429,,,,4.792335331022579,22,0.000730708825756432,22
AZN_20221021,,,,3.9493108165312503,22,-0.05313655915859972,22
SGP_20061020,,,,0.4856110430112583,22,0.041510465164485755,22
SLXP_20081031,23.45,,,14.367304226710594,22,0.3728547562516378,22
NVS_20070313,,23.61,,3.712809943523663,20,-0.01396423930264834,20
PFE_20221215,,,,6.373527803148702,21,0.10641741060536658,21
XEL_20191003,,,,2.428040023703775,22,-0.007368325263541697,22
BMY_20190816,,,,2.572472184016134,22,0.02924617271097718,22
SCPH_20221007,,27.75,,1.9709366915603472,22,-0.08208975582438305,22
LNC_20240105,15.01,13.65,-9.060626249167218,1.489624669457237,20,0.13100139086905238,20
NVS_20230316,,,,2.708959775500741,21,-0.02058081988335614,21
RDY_20160127,13.1,,,2.0575494979422557,16,-0.07128792330824396,16
NVS_20010820,,,,5.46757012660104,20,0.0028458253434526792,20
NVO_20170929,,,,0.6329992053874736,21,0.033542212828300944,21
NVS_20010525,,,,4.077211145801193,22,0.027704269514694735,22
TAK_20211123,,,,2.106504523243697,21,-0.01847877049988733,21
EXEL_20031009,18.85,,,4.098719009491702,22,-0.03003850292099186,22
SNY_20040407,16.03,16.78,4.678727386150967,1.0294895652937133,22,-0.053150228153225676,22
BMY_20050107,19.08,12.36,-35.22012578616352,1.978549190142461,21,0.056098008677432976,21
MYL_20061215,,,,2.999348985692914,21,-0.012433043387008569,21
AMGN_20191206,15.99,,,1.7664035535372975,21,0.09242752941258092,21
TEVA_20190819,,,,2.572472184016134,20,-0.18963481157840612,20
URGN_20200415,,,,7.395889249547399,21,0.3129320796856574,21
GSK_20230201,20.58,,,2.5149448197567517,20,0.003415854042354338,20
CPIX_20110208,,,,5.260191171671041,20,0.04965537161547218,20
AKBA_20240327,,,,0.651968018534523,22,0.4814795486825152,22
SCYX_20210601,24.66,,,3.322977929783966,20,0.2671942360744526,20
ARM_20090730,,,,4.968000439958337,21,0.12584498826565604,21
NVS_20090330,43.06,,,5.47431385633272,20,0.0212407626661264,20
NVS_20010301,,,,3.2271561855998034,21,0.021058821575842268,21
LLY_20080613,,,,12.610764640139298,21,0.003155687050078626,21
PFE_20081031,23.45,,,14.367304226710594,22,-0.03145652397728038,22
TEVA_20190905,,14.28,,2.454895703202484,21,-0.09323212163221617,21
PFE_20170901,11.45,,,0.7493278066945136,22,0.035359446194118904,22
JAZZ_20200721,,,,4.610418866691619,20,-0.05229444660432481,20
BAX_20170420,,,,1.105820470446712,21,0.029692600352570597,21
GSK_20060608,12.63,13.65,8.076009501187645,1.253565344079806,21,-0.012518057450896403,21
UTHR_20180730,27.73,,,4.970432612446372,19,0.08687462768623244,19
AZPN_20001220,,,,3.3580455975375143,21,-0.2195120146375884,21
BAX_20061025,,,,0.4856110430112583,22,0.023987263763602273,22
NVS_20061025,,,,0.4856110430112583,22,0.03305398118344671,22
ABBV_20160411,,12.42,,4.22270530364239,19,0.012820390047252328,19
BDSI_20170323,,,,0.8343124850924074,22,0.026666584479593247,22
GMAB_20230519,,,,2.6080058711881002,22,-0.023758639971425022,22
BHC_20000628,,,,2.194335309404622,21,0.017302984730492188,21
BHC_20231020,,,,2.562691750644561,22,-0.049223085729967586,22
SLXP_20100324,,,,1.5462307135553106,22,0.3107897104325281,22
SRPT_20160919,,,,5.583292681541581,19,0.09746733457906243,19
GSK_20030904,21.24,,,2.484914712828208,21,0.04823658228149119,21
JNJ_20190305,13.36,13.74,2.844311377245515,4.205647057934283,20,0.03871253467950875,20
BAX_20081224,,,,9.272782679630284,21,0.03441428966597315,21
JNJ_20001130,,,,2.8377655726733293,21,0.06582389911716713,21
