days_to_event,mean_expected_return,median_expected_return,mean_volatility,median_volatility,mean_rvr,median_rvr,count
12,0.000548198532995777,0.0005231532670882265,0.04922304361300667,0.03956935331443902,0.7853640848209014,0.3212871289678036,149136
13,0.0005380760350424655,0.0005239820011754335,0.047600601756374455,0.03832162547855516,0.8401664115364252,0.34169433731643317,200950
14,0.0005259838571633783,0.0005165527754415475,0.04642757396974382,0.037327957067390824,0.8814041976481469,0.3541408339398365,233114
15,0.0005241354427996345,0.0005229047619047614,0.04521272918512444,0.03648072171806555,0.9296999748817982,0.37730868157632824,217373
16,0.0005167055624875716,0.0005205476190476192,0.0443061617344896,0.03560316377243497,0.9852520569794556,0.39459067137257314,144733
17,0.0005108086983039342,0.0004878963414634144,0.04389450900970832,0.03499370278395217,0.9980937703271143,0.3814307915381402,104878
18,0.0005196609995886822,0.0004922427248677247,0.042571117293944534,0.0341169526743027,1.036958154487562,0.40599602590696887,122112
19,0.0005522153779961255,0.0005235975609756098,0.040903152095171376,0.03289749675667934,1.1297304386078508,0.46421017471225845,147053
20,0.0005414732038914852,0.0005272891566265055,0.04017702795253215,0.0323338000428346,1.1736048782076878,0.4810362341497493,198261
21,0.0005345416825809647,0.0005176320030120479,0.039818276895959966,0.032013755464705085,1.199451003473243,0.48424789165048915,229490
22,0.0005201821209278359,0.0005179697307749518,0.03914633525180249,0.03162128421950066,1.2346963517164782,0.49799269588766626,215960
23,0.0005162507011796028,0.0005169520905923351,0.03882421046093573,0.03126544823117809,1.2749574755708573,0.5084934279182829,144378
24,0.0005226470928961693,0.0004922289156626501,0.038900288748149395,0.031062707652909697,1.2667813714437899,0.4882428725466048,104233
25,0.0005459988697757179,0.00050676018651363,0.03817848142460613,0.030571334752661022,1.313004106452293,0.5217297604258344,118610
26,0.0005600458687925959,0.0005311165311653116,0.036986685146388726,0.029705663867669554,1.3962406793603022,0.575291390784406,144190
27,0.0005529356239421142,0.000532792682926829,0.0366244170649205,0.029467811943499712,1.4212944610028593,0.5849256745696266,195835
28,0.0005320623143452437,0.0005131644620811287,0.036578230732297635,0.02945972766919995,1.410544883067494,0.5673738827985157,228828
29,0.0005230030608438551,0.0005172380952380951,0.03607845538773464,0.029204233913569147,1.4377822709746404,0.583154831110295,214631
30,0.0005260394988631791,0.0005152484572436085,0.0359698217815531,0.029032319138845634,1.4690770714711776,0.5906740814028378,143172
31,0.0005286241587863631,0.0004950617283950617,0.036440119497813304,0.02913637526658006,1.4545672506818978,0.5589324381680083,103643
32,0.0005477732252360915,0.0005115455480458421,0.03616571694222551,0.028990173687734558,1.4682300953486993,0.5845552542267167,117264
33,0.0005610073881206221,0.000534841463414634,0.03502988045771069,0.028209212791362664,1.549318106188409,0.6440601089107558,143693
34,0.0005494589397662335,0.0005295903614457832,0.03480672373204701,0.0280520736688225,1.563942963073711,0.6438185506638627,196357
35,0.000534329865583708,0.0005145365853658539,0.03482838568314562,0.028107874349497228,1.5479021837268625,0.6254346670461525,230064
36,0.0005215884258476812,0.0005155270367183018,0.034535847539361744,0.027935500243513857,1.5589984410168383,0.6351814560153761,214628
37,0.0005263483282986548,0.0005183496687744654,0.03458965286920067,0.02790214413273443,1.5786192303378095,0.6418478587200719,143514
38,0.0005249580271656399,0.0004951565040650404,0.035157271189986086,0.02813371507352761,1.5366612884929878,0.5987346800522815,104164
39,0.0005488786784133855,0.0005021219512195122,0.034883195959156406,0.028062429385471165,1.54607208707932,0.6132412005757568,118611
40,0.0005616564642767313,0.0005275853658536592,0.03387121979746901,0.027335893839445964,1.6231848300797709,0.6774521899437936,144193
41,0.0005530643233181084,0.0005324024390243898,0.03368499996421624,0.027220655859526845,1.636374929875231,0.6880412771974223,196089
42,0.0005336368452790813,0.0005188616434378638,0.03384435813317473,0.027328909757650125,1.613823346888479,0.6649396690269789,230292
43,0.0005161684397825732,0.0005159343019135361,0.033708990126372095,0.027270911331276026,1.6156520402990013,0.6653180526957087,214290
44,0.0005196067213582558,0.0005178674698795192,0.0338417480189552,0.027316581674894543,1.622981810141096,0.666277379415827,143341
45,0.0005303533173165359,0.0004948552555168409,0.03432769570661253,0.027486816523165383,1.5772459625203588,0.6237590205246173,104064
46,0.000539991210928581,0.0004995701586835144,0.03411389094124898,0.027448547096449973,1.5807853474510964,0.6361204641881655,120412
47,0.0005647255683010486,0.000530454305024978,0.033223352278004596,0.026809990133795446,1.6637855215512933,0.706095020068942,145412
48,0.0005527414414271826,0.0005317738095238098,0.03311952452098979,0.026776547324035144,1.6631400935440017,0.7080274162430369,196865
49,0.0005447699661341662,0.0005235535714285712,0.03329239224167714,0.026892420098078403,1.639418233918722,0.6910526757032479,229180
50,0.000520710265863605,0.0005167349397590357,0.0332093412048852,0.026894239339614313,1.6290396426490652,0.6825018873546811,210077
51,0.000517577614169731,0.0005175873015873016,0.03341649860648918,0.026993450261002517,1.6313617076787446,0.6790300637190749,141288
52,0.0005154894307376442,0.0004903058823529412,0.03391268326848758,0.027193481865637706,1.562765686553786,0.6321322923509619,102983
53,0.0005340406993919809,0.0004927901234567903,0.03366923408172864,0.027102988480672552,1.5821025804688853,0.6424142550182647,120579
54,0.0005709888323405953,0.0005323703703703703,0.032958367177195504,0.026554360057646432,1.6898924996224247,0.7236619738113131,144649
55,0.0005510245684298626,0.0005282016213000145,0.03295829708592629,0.026597874065886845,1.662555142722198,0.7097101096621671,195160
56,0.0005364881827260592,0.0005165829066265063,0.03320686955346074,0.02679298093124174,1.6369480529421534,0.6869303636833379,226206
57,0.0004975435122088779,0.0005004938271604938,0.03315516504555589,0.026834308341164237,1.6102354969090529,0.6659796114955591,208159
58,0.0004904710114747676,0.0004960181440045895,0.033338557791159365,0.026929630566251063,1.5992454801857203,0.6566926171227082,139526
59,0.0004951168002402241,0.0004759268292682933,0.03389402447937391,0.027189647055870472,1.5348991178505285,0.6104675214365635,101634
60,0.0005273744112092754,0.00047912571715433175,0.03373783370329078,0.0271804902892335,1.5542982864883466,0.6236201173832636,118060
