days_to_event,mean_rtv,median_rtv,std_rtv,count,smooth_mean_rtv
11,1.6589813013963712,0.3884204906381312,115.76602870162199,124791,6.18880787013898
12,2.8760316595519786,0.40037156967433246,151.64597740511763,149331,7.706256216914555
13,21.93158507882103,0.4012510278611271,6147.860863169533,201196,11.246472894469571
14,11.074860571862919,0.3992330093521144,4739.404196555786,233401,11.367943259953977
15,18.730416646056934,0.3996885779409096,13768.856015813033,217668,11.394892605396423
16,2.2663331288183937,0.39986172739242043,172.0166706992285,144959,-471565681991.97375
17,3.010778386764213,0.3997391064130007,136.51297212981802,105034,-471565681993.7373
18,-2357828409994.9116,0.3996347809901135,824377200991582.0,122244,560540100029.9111
19,2.2569094032887764,0.39686602834725143,234.63182322354254,147242,-10581607867784.715
20,5160528910136.973,0.40000615110677373,2299697517431637.5,198588,-10581607867784.65
21,-55710739839070.87,0.4039029292960486,2.893078354249133e16,229942,-10110042185782.48
22,3.338152794654982,0.5625645510423873,1356.893809945723,216425,-10110042185782.184
23,15.93596243152382,0.7078860538569973,4617.986298049004,144779,-9418299802213.725
24,3.7403800041595123,0.40797980071513945,126.77733636338954,104543,1723848165601.0388
25,8619240827979.267,0.4010897004802401,2972063720561812.0,118899,1691234044496.553
26,2.9519067277992046,0.40349354761307377,230.39021469969458,144561,1412210739835.5044
27,-163070605519.09106,0.5494088947813379,72266404614604.42,196391,1412210739835.26
28,-1395116523289.3079,0.5831304552167332,605285930706637.2,229555,-311637425759.75256
29,2.519584108363425,0.6402617850679322,739.2974228277562,215343,-450068628629.34735
30,4.203959281046329,0.633719440952148,357.8405498375666,143748,-417454507524.8708
31,-692156014345.0221,0.400675597879704,223327331731888.56,104106,-138431202865.9655
32,3.2917897466459842,0.4040382905482254,112.56705525157382,117696,-138431202865.72565
33,5.218510298581437,0.4414268707198143,705.152973106415,144187,-138431202865.95367
34,3.7189145153154306,0.5698138695569442,152.17299123268464,197143,2138782693062.5305
35,3.063997442207002,0.4960235650906958,426.1572906142814,231075,2138782693062.5696
36,10693913465297.398,0.6028171559621558,4965731124928663.0,215622,2138782693062.308
37,3.487144399986985,0.40317911772600123,153.66370833384283,144294,2138782693062.2974
38,3.911598431569883,0.39967528704850325,135.80384817123348,104773,2138782693062.4722
39,3.664042575600566,0.4004669529236181,125.25667685862607,119196,3.729409077517412
40,3.938971860597259,0.4142594688845961,123.35357140917252,144859,3.64032298724785
41,3.68415476258706,0.4198085041435296,108.74324833141843,197018,3.4669861014704706
42,3.041713948639173,0.4036234841759524,115.56297108067571,231500,3.2798149028726113
43,3.04491400268299,0.399895723731905,121.30757812159212,215507,2.668667220633416
